API_WellNo,Cnty,Hole,SideTrck,Completion
31003004420000,3,442,0,0
31003004440000,3,444,0,0
31003004450000,3,445,0,0
31003004460000,3,446,0,0
31003004470000,3,447,0,0
31003004630000,3,463,0,0
31003004640000,3,464,0,0
31003004650000,3,465,0,0
31003004660000,3,466,0,0
31003004680000,3,468,0,0
31003004690000,3,469,0,0
31003004700000,3,470,0,0
31003004710000,3,471,0,0
31003004710001,3,471,0,1
31003005390000,3,539,0,0
31003007190000,3,719,0,0
31003007400000,3,740,0,0
31003007660000,3,766,0,0
31003008360000,3,836,0,0
31003008500000,3,850,0,0
31003009230000,3,923,0,0
31003009250000,3,925,0,0
31003009950000,3,995,0,0
31003009960000,3,996,0,0
31003009980000,3,998,0,0
31003010020000,3,1002,0,0
31003011290000,3,1129,0,0
31003011500000,3,1150,0,0
31003011590000,3,1159,0,0
31003017980000,3,1798,0,0
31003018050000,3,1805,0,0
31003018170000,3,1817,0,0
31003018190000,3,1819,0,0
31003022110000,3,2211,0,0
31003022970000,3,2297,0,0
31003022980000,3,2298,0,0
31003022990000,3,2299,0,0
31003023000000,3,2300,0,0
31003023020000,3,2302,0,0
31003023030000,3,2303,0,0
31003023040000,3,2304,0,0
31003023050000,3,2305,0,0
31003023060000,3,2306,0,0
31003023070000,3,2307,0,0
31003023090000,3,2309,0,0
31003023100000,3,2310,0,0
31003023110000,3,2311,0,0
31003023120000,3,2312,0,0
31003023160000,3,2316,0,0
31003023170000,3,2317,0,0
31003026140000,3,2614,0,0
31003026690000,3,2669,0,0
31003026700000,3,2670,0,0
31003026740000,3,2674,0,0
31003026750000,3,2675,0,0
31003026760000,3,2676,0,0
31003026770000,3,2677,0,0
31003026780000,3,2678,0,0
31003026810000,3,2681,0,0
31003026820000,3,2682,0,0
31003026870000,3,2687,0,0
31003026880000,3,2688,0,0
31003029530000,3,2953,0,0
31003029570000,3,2957,0,0
31003029670000,3,2967,0,0
31003031960000,3,3196,0,0
31003031980000,3,3198,0,0
31003032400000,3,3240,0,0
31003032640000,3,3264,0,0
31003033230000,3,3323,0,0
31003033240000,3,3324,0,0
31003037620000,3,3762,0,0
31003038560000,3,3856,0,0
31003038600000,3,3860,0,0
31003038610000,3,3861,0,0
31003038620000,3,3862,0,0
31003038630000,3,3863,0,0
31003038690000,3,3869,0,0
31003038710000,3,3871,0,0
31003038720000,3,3872,0,0
31003038730000,3,3873,0,0
31003038740000,3,3874,0,0
31003038750000,3,3875,0,0
31003038860000,3,3886,0,0
31003038930000,3,3893,0,0
31003039010000,3,3901,0,0
31003039070000,3,3907,0,0
31003039220000,3,3922,0,0
31003039250000,3,3925,0,0
31003039410000,3,3941,0,0
31003039520000,3,3952,0,0
31003039560000,3,3956,0,0
31003039690000,3,3969,0,0
31003039750000,3,3975,0,0
31003039800000,3,3980,0,0
31003039830000,3,3983,0,0
31003039860000,3,3986,0,0
31003039900000,3,3990,0,0
31003039950000,3,3995,0,0
31003040250000,3,4025,0,0
31003040290000,3,4029,0,0
31003040520000,3,4052,0,0
31003040610000,3,4061,0,0
31003040620000,3,4062,0,0
31003040650000,3,4065,0,0
31003040660000,3,4066,0,0
31003041250000,3,4125,0,0
31003041270000,3,4127,0,0
31003041440000,3,4144,0,0
31003041450000,3,4145,0,0
31003041680000,3,4168,0,0
31003042360000,3,4236,0,0
31003042480000,3,4248,0,0
31003043510000,3,4351,0,0
31003043520000,3,4352,0,0
31003043620000,3,4362,0,0
31003043720000,3,4372,0,0
31003043810000,3,4381,0,0
31003043860000,3,4386,0,0
31003043880000,3,4388,0,0
31003044210000,3,4421,0,0
31003044250000,3,4425,0,0
31003044300000,3,4430,0,0
31003044410000,3,4441,0,0
31003044420000,3,4442,0,0
31003044430000,3,4443,0,0
31003044630000,3,4463,0,0
31003044720000,3,4472,0,0
31003044730000,3,4473,0,0
31003044800000,3,4480,0,0
31003044810000,3,4481,0,0
31003044830000,3,4483,0,0
31003044840000,3,4484,0,0
31003044860000,3,4486,0,0
31003045010000,3,4501,0,0
31003045250000,3,4525,0,0
31003045260000,3,4526,0,0
31003045280000,3,4528,0,0
31003045410000,3,4541,0,0
31003045480000,3,4548,0,0
31003045490000,3,4549,0,0
31003045650000,3,4565,0,0
31003045680000,3,4568,0,0
31003045690000,3,4569,0,0
31003045840000,3,4584,0,0
31003045870000,3,4587,0,0
31003045880000,3,4588,0,0
31003045910000,3,4591,0,0
31003045950000,3,4595,0,0
31003045960000,3,4596,0,0
31003045970000,3,4597,0,0
31003045980000,3,4598,0,0
31003045990000,3,4599,0,0
31003046080000,3,4608,0,0
31003046090000,3,4609,0,0
31003046130000,3,4613,0,0
31003046140000,3,4614,0,0
31003046250000,3,4625,0,0
31003046260000,3,4626,0,0
31003046400000,3,4640,0,0
31003046410000,3,4641,0,0
31003046420000,3,4642,0,0
31003046440000,3,4644,0,0
31003046540000,3,4654,0,0
31003046560000,3,4656,0,0
31003046570000,3,4657,0,0
31003046730000,3,4673,0,0
31003046770000,3,4677,0,0
31003046780000,3,4678,0,0
31003046790000,3,4679,0,0
31003046800000,3,4680,0,0
31003046810000,3,4681,0,0
31003046820000,3,4682,0,0
31003046830000,3,4683,0,0
31003046840000,3,4684,0,0
31003046850000,3,4685,0,0
31003046860000,3,4686,0,0
31003046870000,3,4687,0,0
31003046880000,3,4688,0,0
31003046890000,3,4689,0,0
31003046900000,3,4690,0,0
31003046910000,3,4691,0,0
31003046920000,3,4692,0,0
31003046980000,3,4698,0,0
31003046990000,3,4699,0,0
31003047000000,3,4700,0,0
31003047010000,3,4701,0,0
31003047020000,3,4702,0,0
31003047030000,3,4703,0,0
31003047040000,3,4704,0,0
31003047050000,3,4705,0,0
31003047060000,3,4706,0,0
31003047070000,3,4707,0,0
31003047080000,3,4708,0,0
31003047100000,3,4710,0,0
31003047200000,3,4720,0,0
31003047330000,3,4733,0,0
31003047340000,3,4734,0,0
31003047350000,3,4735,0,0
31003047360000,3,4736,0,0
31003047370000,3,4737,0,0
31003047380000,3,4738,0,0
31003047390000,3,4739,0,0
31003047400000,3,4740,0,0
31003047410000,3,4741,0,0
31003047420000,3,4742,0,0
31003047430000,3,4743,0,0
31003047440000,3,4744,0,0
31003047450000,3,4745,0,0
31003047470000,3,4747,0,0
31003047480000,3,4748,0,0
31003047490000,3,4749,0,0
31003047610000,3,4761,0,0
31003047770000,3,4777,0,0
31003048250000,3,4825,0,0
31003048330000,3,4833,0,0
31003048420000,3,4842,0,0
31003048490000,3,4849,0,0
31003048650000,3,4865,0,0
31003048750000,3,4875,0,0
31003048760000,3,4876,0,0
31003048770000,3,4877,0,0
31003048780000,3,4878,0,0
31003048790000,3,4879,0,0
31003048800000,3,4880,0,0
31003048810000,3,4881,0,0
31003048820000,3,4882,0,0
31003048830000,3,4883,0,0
31003048840000,3,4884,0,0
31003048850000,3,4885,0,0
31003048860000,3,4886,0,0
31003048870000,3,4887,0,0
31003048880000,3,4888,0,0
31003048890000,3,4889,0,0
31003048900000,3,4890,0,0
31003048910000,3,4891,0,0
31003048920000,3,4892,0,0
31003048930000,3,4893,0,0
31003048940000,3,4894,0,0
31003048950000,3,4895,0,0
31003048960000,3,4896,0,0
31003048970000,3,4897,0,0
31003048980000,3,4898,0,0
31003048990000,3,4899,0,0
31003049000000,3,4900,0,0
31003049010000,3,4901,0,0
31003049250000,3,4925,0,0
31003049440000,3,4944,0,0
31003049450000,3,4945,0,0
31003049460000,3,4946,0,0
31003049490000,3,4949,0,0
31003049500000,3,4950,0,0
31003049570000,3,4957,0,0
31003049580000,3,4958,0,0
31003049590000,3,4959,0,0
31003049600000,3,4960,0,0
31003049610000,3,4961,0,0
31003049620000,3,4962,0,0
31003049630000,3,4963,0,0
31003049750000,3,4975,0,0
31003049760000,3,4976,0,0
31003049770000,3,4977,0,0
31003049780000,3,4978,0,0
31003049790000,3,4979,0,0
31003049800000,3,4980,0,0
31003049810000,3,4981,0,0
31003049830000,3,4983,0,0
31003049850000,3,4985,0,0
31003049900000,3,4990,0,0
31003049910000,3,4991,0,0
31003049920000,3,4992,0,0
31003049950000,3,4995,0,0
31003049960000,3,4996,0,0
31003050090000,3,5009,0,0
31003050100000,3,5010,0,0
31003050250000,3,5025,0,0
31003050360000,3,5036,0,0
31003050370000,3,5037,0,0
31003050380000,3,5038,0,0
31003050390000,3,5039,0,0
31003050450000,3,5045,0,0
31003050590000,3,5059,0,0
31003050600000,3,5060,0,0
31003050670000,3,5067,0,0
31003050720000,3,5072,0,0
31003050730000,3,5073,0,0
31003050750000,3,5075,0,0
31003050790000,3,5079,0,0
31003050800000,3,5080,0,0
31003050810000,3,5081,0,0
31003050820000,3,5082,0,0
31003050990000,3,5099,0,0
31003051020000,3,5102,0,0
31003051030000,3,5103,0,0
31003051110000,3,5111,0,0
31003051130000,3,5113,0,0
31003051310000,3,5131,0,0
31003051320000,3,5132,0,0
31003051330000,3,5133,0,0
31003052050000,3,5205,0,0
31003052060000,3,5206,0,0
31003052120000,3,5212,0,0
31003052210000,3,5221,0,0
31003052220000,3,5222,0,0
31003052230000,3,5223,0,0
31003052680000,3,5268,0,0
31003052730000,3,5273,0,0
31003052740000,3,5274,0,0
31003052790000,3,5279,0,0
31003052810000,3,5281,0,0
31003052820000,3,5282,0,0
31003052930000,3,5293,0,0
31003052940000,3,5294,0,0
31003052950000,3,5295,0,0
31003052960000,3,5296,0,0
31003052970000,3,5297,0,0
31003052980000,3,5298,0,0
31003052990000,3,5299,0,0
31003053050000,3,5305,0,0
31003053060000,3,5306,0,0
31003053070000,3,5307,0,0
31003053120000,3,5312,0,0
31003053230000,3,5323,0,0
31003053260000,3,5326,0,0
31003053330000,3,5333,0,0
31003053340000,3,5334,0,0
31003053380000,3,5338,0,0
31003053390000,3,5339,0,0
31003053420000,3,5342,0,0
31003053430000,3,5343,0,0
31003053480000,3,5348,0,0
31003053490000,3,5349,0,0
31003053570000,3,5357,0,0
31003053580000,3,5358,0,0
31003053590000,3,5359,0,0
31003053600000,3,5360,0,0
31003053610000,3,5361,0,0
31003053620000,3,5362,0,0
31003053630000,3,5363,0,0
31003053640000,3,5364,0,0
31003053650000,3,5365,0,0
31003053660000,3,5366,0,0
31003053670000,3,5367,0,0
31003053690000,3,5369,0,0
31003053700000,3,5370,0,0
31003053760000,3,5376,0,0
31003053780000,3,5378,0,0
31003053800000,3,5380,0,0
31003053810000,3,5381,0,0
31003053860000,3,5386,0,0
31003053880000,3,5388,0,0
31003053920000,3,5392,0,0
31003053930000,3,5393,0,0
31003053940000,3,5394,0,0
31003053990000,3,5399,0,0
31003054110000,3,5411,0,0
31003054120000,3,5412,0,0
31003054130000,3,5413,0,0
31003054140000,3,5414,0,0
31003054150000,3,5415,0,0
31003054160000,3,5416,0,0
31003054170000,3,5417,0,0
31003054180000,3,5418,0,0
31003054190000,3,5419,0,0
31003054200000,3,5420,0,0
31003054210000,3,5421,0,0
31003054220000,3,5422,0,0
31003054270000,3,5427,0,0
31003054370000,3,5437,0,0
31003054380000,3,5438,0,0
31003054400000,3,5440,0,0
31003054410000,3,5441,0,0
31003054460000,3,5446,0,0
31003054480000,3,5448,0,0
31003054570000,3,5457,0,0
31003054580000,3,5458,0,0
31003054590000,3,5459,0,0
31003054600000,3,5460,0,0
31003054610000,3,5461,0,0
31003054620000,3,5462,0,0
31003054630000,3,5463,0,0
31003054680000,3,5468,0,0
31003054790000,3,5479,0,0
31003054800000,3,5480,0,0
31003054810000,3,5481,0,0
31003054860000,3,5486,0,0
31003054880000,3,5488,0,0
31003054900000,3,5490,0,0
31003054910000,3,5491,0,0
31003055010000,3,5501,0,0
31003055030000,3,5503,0,0
31003055040000,3,5504,0,0
31003055050000,3,5505,0,0
31003055080000,3,5508,0,0
31003055100000,3,5510,0,0
31003055150000,3,5515,0,0
31003055170000,3,5517,0,0
31003055180000,3,5518,0,0
31003055290000,3,5529,0,0
31003055390000,3,5539,0,0
31003055480000,3,5548,0,0
31003055540000,3,5554,0,0
31003055580000,3,5558,0,0
31003055590000,3,5559,0,0
31003057770000,3,5777,0,0
31003057780000,3,5778,0,0
31003057850000,3,5785,0,0
31003057860000,3,5786,0,0
31003057870000,3,5787,0,0
31003057880000,3,5788,0,0
31003057970000,3,5797,0,0
31003058010000,3,5801,0,0
31003058040000,3,5804,0,0
31003058060000,3,5806,0,0
31003058070000,3,5807,0,0
31003058080000,3,5808,0,0
31003058090000,3,5809,0,0
31003058100000,3,5810,0,0
31003058110000,3,5811,0,0
31003058120000,3,5812,0,0
31003058130000,3,5813,0,0
31003058140000,3,5814,0,0
31003058150000,3,5815,0,0
31003058160000,3,5816,0,0
31003058170000,3,5817,0,0
31003058180000,3,5818,0,0
31003058190000,3,5819,0,0
31003058200000,3,5820,0,0
31003058210000,3,5821,0,0
31003058220000,3,5822,0,0
31003058230000,3,5823,0,0
31003058240000,3,5824,0,0
31003058250000,3,5825,0,0
31003058260000,3,5826,0,0
31003058270000,3,5827,0,0
31003058280000,3,5828,0,0
31003058290000,3,5829,0,0
31003058300000,3,5830,0,0
31003058310000,3,5831,0,0
31003058320000,3,5832,0,0
31003058330000,3,5833,0,0
31003058340000,3,5834,0,0
31003058350000,3,5835,0,0
31003058360000,3,5836,0,0
31003058370000,3,5837,0,0
31003058380000,3,5838,0,0
31003058390000,3,5839,0,0
31003058400000,3,5840,0,0
31003058410000,3,5841,0,0
31003058420000,3,5842,0,0
31003058430000,3,5843,0,0
31003058440000,3,5844,0,0
31003058450000,3,5845,0,0
31003058460000,3,5846,0,0
31003058470000,3,5847,0,0
31003058480000,3,5848,0,0
31003058490000,3,5849,0,0
31003058500000,3,5850,0,0
31003058510000,3,5851,0,0
31003058520000,3,5852,0,0
31003058530000,3,5853,0,0
31003058540000,3,5854,0,0
31003058550000,3,5855,0,0
31003058560000,3,5856,0,0
31003058570000,3,5857,0,0
31003058580000,3,5858,0,0
31003058590000,3,5859,0,0
31003058600000,3,5860,0,0
31003058610000,3,5861,0,0
31003058620000,3,5862,0,0
31003058630000,3,5863,0,0
31003058640000,3,5864,0,0
31003058650000,3,5865,0,0
31003058660000,3,5866,0,0
31003058670000,3,5867,0,0
31003058680000,3,5868,0,0
31003058690000,3,5869,0,0
31003058700000,3,5870,0,0
31003058710000,3,5871,0,0
31003058720000,3,5872,0,0
31003058730000,3,5873,0,0
31003058740000,3,5874,0,0
31003058750000,3,5875,0,0
31003058760000,3,5876,0,0
31003058770000,3,5877,0,0
31003058780000,3,5878,0,0
31003058790000,3,5879,0,0
31003058800000,3,5880,0,0
31003058810000,3,5881,0,0
31003058820000,3,5882,0,0
31003058830000,3,5883,0,0
31003058840000,3,5884,0,0
31003058850000,3,5885,0,0
31003058860000,3,5886,0,0
31003058870000,3,5887,0,0
31003058880000,3,5888,0,0
31003058890000,3,5889,0,0
31003058900000,3,5890,0,0
31003058910000,3,5891,0,0
31003058920000,3,5892,0,0
31003058930000,3,5893,0,0
31003058940000,3,5894,0,0
31003058950000,3,5895,0,0
31003058960000,3,5896,0,0
31003058970000,3,5897,0,0
31003058980000,3,5898,0,0
31003058990000,3,5899,0,0
31003059000000,3,5900,0,0
31003059010000,3,5901,0,0
31003059020000,3,5902,0,0
31003059030000,3,5903,0,0
31003059040000,3,5904,0,0
31003059050000,3,5905,0,0
31003059060000,3,5906,0,0
31003059070000,3,5907,0,0
31003059080000,3,5908,0,0
31003059090000,3,5909,0,0
31003059100000,3,5910,0,0
31003059110000,3,5911,0,0
31003059120000,3,5912,0,0
31003059130000,3,5913,0,0
31003059140000,3,5914,0,0
31003059150000,3,5915,0,0
31003059160000,3,5916,0,0
31003059170000,3,5917,0,0
31003059180000,3,5918,0,0
31003059190000,3,5919,0,0
31003059200000,3,5920,0,0
31003059210000,3,5921,0,0
31003059220000,3,5922,0,0
31003059230000,3,5923,0,0
31003059240000,3,5924,0,0
31003059250000,3,5925,0,0
31003059260000,3,5926,0,0
31003059270000,3,5927,0,0
31003059280000,3,5928,0,0
31003059290000,3,5929,0,0
31003059300000,3,5930,0,0
31003059310000,3,5931,0,0
31003059320000,3,5932,0,0
31003059330000,3,5933,0,0
31003059340000,3,5934,0,0
31003059350000,3,5935,0,0
31003059360000,3,5936,0,0
31003059370000,3,5937,0,0
31003059380000,3,5938,0,0
31003059390000,3,5939,0,0
31003059400000,3,5940,0,0
31003059410000,3,5941,0,0
31003059420000,3,5942,0,0
31003059430000,3,5943,0,0
31003059440000,3,5944,0,0
31003059450000,3,5945,0,0
31003059460000,3,5946,0,0
31003059470000,3,5947,0,0
31003059480000,3,5948,0,0
31003059490000,3,5949,0,0
31003059500000,3,5950,0,0
31003059510000,3,5951,0,0
31003059520000,3,5952,0,0
31003059530000,3,5953,0,0
31003059540000,3,5954,0,0
31003059550000,3,5955,0,0
31003059560000,3,5956,0,0
31003059570000,3,5957,0,0
31003059580000,3,5958,0,0
31003059590000,3,5959,0,0
31003059600000,3,5960,0,0
31003059610000,3,5961,0,0
31003059620000,3,5962,0,0
31003059630000,3,5963,0,0
31003059640000,3,5964,0,0
31003059650000,3,5965,0,0
31003059660000,3,5966,0,0
31003059670000,3,5967,0,0
31003059680000,3,5968,0,0
31003059690000,3,5969,0,0
31003059700000,3,5970,0,0
31003059710000,3,5971,0,0
31003059720000,3,5972,0,0
31003059730000,3,5973,0,0
31003059740000,3,5974,0,0
31003059750000,3,5975,0,0
31003059760000,3,5976,0,0
31003059770000,3,5977,0,0
31003059780000,3,5978,0,0
31003059790000,3,5979,0,0
31003059800000,3,5980,0,0
31003059810000,3,5981,0,0
31003059820000,3,5982,0,0
31003059830000,3,5983,0,0
31003059840000,3,5984,0,0
31003059850000,3,5985,0,0
31003059860000,3,5986,0,0
31003059870000,3,5987,0,0
31003059880000,3,5988,0,0
31003059890000,3,5989,0,0
31003059900000,3,5990,0,0
31003059910000,3,5991,0,0
31003059920000,3,5992,0,0
31003059930000,3,5993,0,0
31003059940000,3,5994,0,0
31003059950000,3,5995,0,0
31003059960000,3,5996,0,0
31003059970000,3,5997,0,0
31003059980000,3,5998,0,0
31003059990000,3,5999,0,0
31003060000000,3,6000,0,0
31003060010000,3,6001,0,0
31003060020000,3,6002,0,0
31003060030000,3,6003,0,0
31003060040000,3,6004,0,0
31003060050000,3,6005,0,0
31003060060000,3,6006,0,0
31003060070000,3,6007,0,0
31003060080000,3,6008,0,0
31003060090000,3,6009,0,0
31003060100000,3,6010,0,0
31003060110000,3,6011,0,0
31003060120000,3,6012,0,0
31003060130000,3,6013,0,0
31003060140000,3,6014,0,0
31003060150000,3,6015,0,0
31003060160000,3,6016,0,0
31003060170000,3,6017,0,0
31003060180000,3,6018,0,0
31003060190000,3,6019,0,0
31003060200000,3,6020,0,0
31003060210000,3,6021,0,0
31003060220000,3,6022,0,0
31003060230000,3,6023,0,0
31003060240000,3,6024,0,0
31003060250000,3,6025,0,0
31003060260000,3,6026,0,0
31003060270000,3,6027,0,0
31003060280000,3,6028,0,0
31003060290000,3,6029,0,0
31003060300000,3,6030,0,0
31003060310000,3,6031,0,0
31003060320000,3,6032,0,0
31003060330000,3,6033,0,0
31003060340000,3,6034,0,0
31003060350000,3,6035,0,0
31003060360000,3,6036,0,0
31003060370000,3,6037,0,0
31003060380000,3,6038,0,0
31003060390000,3,6039,0,0
31003060400000,3,6040,0,0
31003060410000,3,6041,0,0
31003060420000,3,6042,0,0
31003060430000,3,6043,0,0
31003060440000,3,6044,0,0
31003060450000,3,6045,0,0
31003060460000,3,6046,0,0
31003060500000,3,6050,0,0
31003060510000,3,6051,0,0
31003060520000,3,6052,0,0
31003060530000,3,6053,0,0
31003060540000,3,6054,0,0
31003060550000,3,6055,0,0
31003060560000,3,6056,0,0
31003060570000,3,6057,0,0
31003060580000,3,6058,0,0
31003060590000,3,6059,0,0
31003060720000,3,6072,0,0
31003060740000,3,6074,0,0
31003060750000,3,6075,0,0
31003060760000,3,6076,0,0
31003060770000,3,6077,0,0
31003060780000,3,6078,0,0
31003060790000,3,6079,0,0
31003060800000,3,6080,0,0
31003060810000,3,6081,0,0
31003060820000,3,6082,0,0
31003060830000,3,6083,0,0
31003060840000,3,6084,0,0
31003060850000,3,6085,0,0
31003060860000,3,6086,0,0
31003060870000,3,6087,0,0
31003060880000,3,6088,0,0
31003060890000,3,6089,0,0
31003060900000,3,6090,0,0
31003060910000,3,6091,0,0
31003060920000,3,6092,0,0
31003060930000,3,6093,0,0
31003060940000,3,6094,0,0
31003060950000,3,6095,0,0
31003060960000,3,6096,0,0
31003060970000,3,6097,0,0
31003060980000,3,6098,0,0
31003060990000,3,6099,0,0
31003061000000,3,6100,0,0
31003061010000,3,6101,0,0
31003061020000,3,6102,0,0
31003061030000,3,6103,0,0
31003061040000,3,6104,0,0
31003061050000,3,6105,0,0
31003061090000,3,6109,0,0
31003061100000,3,6110,0,0
31003061110000,3,6111,0,0
31003061120000,3,6112,0,0
31003061130000,3,6113,0,0
31003061140000,3,6114,0,0
31003061150000,3,6115,0,0
31003061160000,3,6116,0,0
31003061170000,3,6117,0,0
31003061180000,3,6118,0,0
31003061190000,3,6119,0,0
31003061200000,3,6120,0,0
31003061210000,3,6121,0,0
31003061220000,3,6122,0,0
31003061230000,3,6123,0,0
31003061240000,3,6124,0,0
31003061250000,3,6125,0,0
31003061260000,3,6126,0,0
31003061270000,3,6127,0,0
31003061280000,3,6128,0,0
31003061290000,3,6129,0,0
31003061300000,3,6130,0,0
31003061310000,3,6131,0,0
31003061320000,3,6132,0,0
31003061330000,3,6133,0,0
31003061340000,3,6134,0,0
31003061350000,3,6135,0,0
31003061360000,3,6136,0,0
31003061370000,3,6137,0,0
31003061380000,3,6138,0,0
31003061390000,3,6139,0,0
31003061400000,3,6140,0,0
31003061410000,3,6141,0,0
31003061420000,3,6142,0,0
31003061430000,3,6143,0,0
31003061440000,3,6144,0,0
31003061450000,3,6145,0,0
31003061460000,3,6146,0,0
31003061470000,3,6147,0,0
31003061480000,3,6148,0,0
31003061490000,3,6149,0,0
31003061500000,3,6150,0,0
31003061510000,3,6151,0,0
31003061520000,3,6152,0,0
31003061530000,3,6153,0,0
31003061540000,3,6154,0,0
31003061550000,3,6155,0,0
31003061560000,3,6156,0,0
31003061570000,3,6157,0,0
31003061580000,3,6158,0,0
31003061590000,3,6159,0,0
31003061600000,3,6160,0,0
31003061610000,3,6161,0,0
31003061620000,3,6162,0,0
31003061630000,3,6163,0,0
31003061640000,3,6164,0,0
31003061650000,3,6165,0,0
31003061660000,3,6166,0,0
31003061670000,3,6167,0,0
31003061680000,3,6168,0,0
31003061690000,3,6169,0,0
31003061700000,3,6170,0,0
31003061710000,3,6171,0,0
31003061720000,3,6172,0,0
31003061730000,3,6173,0,0
31003061740000,3,6174,0,0
31003061750000,3,6175,0,0
31003061760000,3,6176,0,0
31003061840000,3,6184,0,0
31003061850000,3,6185,0,0
31003061860000,3,6186,0,0
31003061870000,3,6187,0,0
31003061880000,3,6188,0,0
31003061890000,3,6189,0,0
31003061900000,3,6190,0,0
31003061910000,3,6191,0,0
31003061920000,3,6192,0,0
31003061930000,3,6193,0,0
31003061940000,3,6194,0,0
31003061950000,3,6195,0,0
31003061960000,3,6196,0,0
31003061970000,3,6197,0,0
